t,lead_I,lead_II,v3,v4
1.3,20720,-13511,119916,125608
3.3,20019,-13482,120205,125854
5.3,20308,-13098,120529,126070
7.3,21123,-12638,120922,126366
9.3,21710,-12452,121408,126822
11.3,22170,-12357,121621,127019
13.3,22665,-12145,121404,126753
15.3,22718,-12093,121191,126523
17.3,22188,-12318,121253,126654
19.3,21722,-12423,121335,126821
21.3,21548,-12330,121269,126786
23.3,21262,-12373,121193,126725
25.3,21025,-12411,121172,126742
27.3,21333,-12117,121198,126769
29.3,21935,-11848,121359,126847
31.3,22326,-12062,121595,126989
33.3,22461,-12544,121631,127013
35.3,22299,-12878,121393,126847
37.3,21812,-12923,121154,126700
39.3,21332,-12747,121097,126709
41.3,20993,-12686,121098,126718
43.3,20611,-13019,121028,126604
45.3,20415,-13437,120971,126500
47.3,20715,-13515,121025,126535
49.3,21197,-13386,121123,126622
51.3,21563,-13293,121152,126634
53.3,21942,-13159,121063,126551
55.3,22163,-13035,120861,126376
57.3,21868,-13170,120630,126140
59.3,21282,-13498,120489,125945
61.3,20833,-13736,120447,125853
63.3,20554,-13822,120427,125828
65.3,20457,-13849,120416,125842
67.3,20631,-13852,120449,125894
69.3,20917,-13837,120532,125966
71.3,21194,-13787,120616,126007
73.3,21503,-13662,120567,125921
75.3,21607,-13539,120316,125672
77.3,21241,-13573,120091,125443
79.3,20715,-13753,120131,125418
81.3,20453,-13916,120252,125473
83.3,20358,-13983,120195,125435
85.3,20237,-14020,120120,125429
87.3,20235,-14049,120229,125582
89.3,20503,-13956,120380,125757
91.3,20969,-13672,120442,125840
93.3,21412,-13368,120446,125846
95.3,21510,-13307,120343,125727
97.3,21130,-13556,120170,125527
99.3,20600,-13938,120186,125477
101.3,20356,-14212,120390,125591
103.3,20443,-14251,120480,125636
105.3,20653,-14125,120459,125618
107.3,20865,-14012,120586,125743
109.3,21077,-14015,120812,125942
111.3,21280,-14107,120904,125987
113.3,21418,-14189,120848,125864
115.3,21415,-14140,120760,125728
117.3,21243,-13983,120729,125703
119.3,20948,-13917,120821,125803
121.3,20645,-14018,120961,125913
123.3,20510,-14102,120997,125931
125.3,20629,-14064,120973,125917
127.3,20857,-14036,121032,125940
129.3,21037,-14120,121150,125973
131.3,21234,-14242,121204,125992
133.3,21497,-14247,121165,125972
135.3,21629,-14092,121110,125894
137.3,21427,-14008,121141,125858
139.3,20952,-14201,121196,125902
141.3,20509,-14372,121108,125869
143.3,20406,-14158,120991,125773
145.3,20622,-13895,121159,125875
147.3,20832,-14043,121515,126134
149.3,20905,-14286,121661,126237
151.3,21003,-14186,121561,126172
153.28,21122,-14012,121451,126137
155.25,21091,-14025,121395,126139
157.23,20986,-13944,121394,126171
159.2,20955,-13723,121455,126261
161.2,20889,-13732,121422,126252
163.2,20740,-13932,121278,126095
165.2,20723,-13925,121302,126067
167.2,20880,-13746,121537,126245
169.2,20979,-13709,121696,126366
171.2,20951,-13775,121728,126364
173.2,20942,-13714,121753,126362
175.2,20991,-13537,121692,126308
177.2,20985,-13404,121545,126198
179.2,20856,-13393,121518,126188
181.2,20644,-13490,121592,126228
183.2,20453,-13616,121603,126182
185.2,20379,-13705,121653,126177
187.2,20463,-13758,121820,126312
189.2,20676,-13730,121889,126400
191.2,20922,-13548,121755,126344
193.2,21105,-13312,121597,126267
195.2,21216,-13212,121516,126219
197.2,21249,-13269,121458,126163
199.2,21107,-13427,121392,126105
201.2,20807,-13715,121320,126023
203.2,20554,-14087,121271,125913
205.2,20462,-14348,121272,125851
207.2,20482,-14379,121255,125822
209.2,20600,-14224,121162,125726
211.2,20779,-13966,121088,125612
213.2,20862,-13743,121094,125574
215.2,20832,-13752,121090,125552
217.2,20826,-14063,121041,125473
219.2,20784,-14543,120988,125363
221.2,20547,-14975,120890,125233
223.2,20293,-15189,120749,125098
225.2,20324,-15183,120678,125033
227.2,20585,-15128,120690,125032
229.2,20827,-15149,120673,125002
231.2,20970,-15208,120617,124945
233.2,21000,-15284,120567,124904
235.2,20871,-15366,120470,124826
237.2,20678,-15321,120315,124683
239.2,20574,-15138,120245,124617
241.2,20494,-15061,120343,124715
243.2,20341,-15128,120445,124808
245.2,20258,-15068,120393,124728
247.2,20370,-14934,120314,124628
249.2,20534,-15114,120385,124708
251.2,20618,-15533,120494,124837
253.2,20671,-15692,120463,124816
255.2,20674,-15555,120391,124751
257.2,20555,-15528,120419,124788
259.2,20416,-15701,120478,124845
261.2,20356,-15850,120507,124859
263.2,20309,-15898,120519,124854
265.2,20268,-15830,120454,124762
267.2,20342,-15590,120339,124608
269.2,20528,-15339,120346,124583
271.2,20758,-15300,120437,124658
273.2,20987,-15418,120415,124611
275.2,21012,-15638,120325,124483
277.2,20672,-16080,120300,124428
279.2,20268,-16555,120268,124356
281.2,20198,-16653,120219,124217
283.2,20352,-16523,120306,124174
285.2,20429,-16628,120538,124297
287.2,20511,-16768,120841,124536
289.2,20817,-16428,121275,124932
291.2,21267,-15784,121901,125557
293.2,21629,-15301,122771,126488
295.2,21853,-14792,123950,127778
297.2,22100,-13851,125192,129168
299.2,22452,-12654,126077,130319
301.2,22720,-11565,126668,131361
303.2,22762,-10577,127257,132509
305.2,22769,-9745,127684,133459
307.2,22848,-9444,127735,133929
309.2,22784,-9778,127560,134033
311.2,22554,-10448,127025,133593
313.2,22399,-11419,125650,132179
315.2,22180,-12833,123559,130029
317.2,21553,-14326,121395,127804
319.2,20727,-15354,119435,125722
321.2,20156,-16017,117759,123872
323.2,19867,-16645,116767,122682
325.2,19740,-17066,116680,122343
327.2,19845,-17101,117130,122479
329.2,20043,-17076,117654,122702
331.2,20003,-17180,118095,122903
333.2,19784,-17160,118455,123042
335.2,19731,-17014,118782,123131
337.2,19878,-17031,119115,123247
339.2,19972,-17085,119414,123389
341.2,19917,-16915,119612,123496
343.2,19834,-16767,119705,123571
345.2,19861,-16819,119746,123645
347.2,20008,-16697,119796,123715
349.2,20140,-16341,119849,123760
351.2,20140,-16289,119838,123763
353.2,20075,-16558,119788,123744
355.2,20054,-16561,119805,123760
357.2,20040,-16315,119871,123829
359.2,19974,-16345,119894,123911
361.2,19898,-16553,119908,123962
363.2,19853,-16501,119982,123950
365.2,19839,-16355,120049,123877
367.2,19889,-16445,120026,123787
369.2,20051,-16528,119946,123698
371.2,20265,-16324,119911,123640
373.2,20399,-16123,119998,123690
375.2,20398,-16211,120156,123831
377.2,20339,-16328,120272,123940
379.2,20275,-16218,120376,124013
381.2,20169,-16111,120520,124099
383.2,20045,-16215,120561,124091
385.2,20034,-16310,120440,123966
387.2,20173,-16208,120389,123921
389.2,20363,-16066,120485,123979
391.2,20515,-16017,120514,123953
393.2,20545,-16002,120473,123888
395.2,20403,-16006,120541,123951
397.2,20242,-16013,120623,124025
399.2,20280,-15926,120574,123988
401.2,20425,-15807,120533,123989
403.2,20417,-15819,120567,124068
405.2,20297,-15891,120528,124064
407.2,20301,-15866,120430,123992
409.2,20437,-15749,120405,123971
411.2,20536,-15565,120416,123960
413.2,20552,-15378,120429,123941
415.2,20534,-15378,120511,123995
417.2,20481,-15494,120602,124062
419.2,20411,-15395,120615,124052
421.2,20400,-15189,120648,124072
423.2,20462,-15282,120770,124196
425.2,20523,-15482,120873,124289
427.2,20531,-15373,120892,124262
429.2,20512,-15235,120871,124191
431.2,20559,-15370,120864,124175
433.2,20750,-15301,120926,124235
435.2,20947,-14855,121049,124310
437.2,20875,-14785,121146,124333
439.2,20585,-15331,121211,124342
441.2,20472,-15647,121315,124390
443.2,20636,-15388,121439,124444
445.2,20795,-15143,121536,124490
447.2,20890,-15072,121663,124581
449.2,21099,-14805,121883,124734
451.2,21331,-14516,122161,124924
453.2,21387,-14541,122370,125091
455.2,21339,-14577,122396,125142
457.2,21287,-14418,122339,125126
459.2,21189,-14417,122398,125206
461.2,21155,-14549,122487,125310
463.2,21304,-14337,122394,125239
465.2,21408,-13932,122237,125105
467.2,21260,-13879,122219,125112
469.2,21082,-14089,122243,125156
471.2,21078,-14218,122207,125109
473.2,21082,-14384,122174,125048
475.2,20945,-14658,122104,124981
477.2,20777,-14773,121933,124839
479.2,20670,-14725,121814,124720
481.2,20632,-14730,121815,124704
483.18,20718,-14684,121765,124671
485.15,20871,-14482,121607,124547
487.13,20894,-14449,121470,124417
489.1,20770,-14776,121408,124354
491.1,20696,-15105,121377,124332
493.1,20747,-15099,121299,124259
495.1,20809,-14889,121123,124089
497.1,20776,-14764,120966,123961
499.1,20606,-14822,120954,123964
501.1,20353,-14959,120949,123932
503.1,20217,-15049,120848,123796
505.1,20321,-15101,120811,123743
507.1,20518,-15161,120843,123759
509.1,20620,-15136,120707,123614
511.1,20625,-15005,120449,123388
513.1,20628,-14962,120326,123326
515.1,20674,-15057,120321,123351
517.1,20678,-15104,120298,123309
519.1,20483,-15130,120286,123266
521.1,20160,-15289,120265,123237
523.1,20049,-15412,120159,123136
525.1,20234,-15329,120071,123023
527.1,20401,-15238,120081,122982
529.1,20405,-15240,120082,122962
531.1,20438,-15143,120046,122951
533.1,20563,-15026,120031,122965
535.1,20645,-15138,119999,122931
537.1,20653,-15300,119967,122867
539.1,20610,-15233,120020,122870
541.1,20496,-15135,120082,122878
543.1,20395,-15273,120076,122832
545.1,20406,-15479,120101,122848
547.1,20450,-15498,120147,122915
549.1,20425,-15351,120071,122877
551.1,20403,-15196,119959,122793
553.1,20470,-15117,119964,122808
555.1,20580,-15062,119977,122822
557.1,20638,-14964,119894,122738
559.1,20604,-14918,119849,122698
561.1,20515,-15018,119915,122771
563.1,20464,-15063,119966,122817
565.1,20501,-14843,119927,122764
567.1,20573,-14606,119863,122710
569.1,20568,-14757,119839,122715
571.1,20428,-15148,119802,122682
573.1,20271,-15256,119656,122518
575.1,20292,-15012,119490,122346
577.1,20481,-14880,119502,122355
579.1,20615,-15011,119628,122461
581.1,20588,-15005,119635,122445
583.1,20512,-14717,119537,122343
585.1,20479,-14552,119510,122321
587.1,20484,-14709,119553,122373
589.1,20478,-14869,119589,122416
591.1,20352,-14887,119589,122409
593.1,20065,-14999,119513,122316
595.1,19883,-15175,119424,122227
597.1,20121,-15023,119467,122284
599.1,20600,-14559,119561,122381
601.1,20787,-14321,119528,122346
603.1,20546,-14490,119449,122274
605.1,20279,-14629,119467,122281
607.1,20257,-14522,119515,122285
609.1,20334,-14490,119526,122256
611.1,20374,-14616,119509,122248
613.1,20452,-14519,119442,122227
615.1,20557,-14157,119401,122226
617.1,20563,-13949,119456,122305
619.1,20506,-13978,119437,122310
621.1,20496,-13971,119296,122205
623.1,20482,-13949,119323,122269
625.1,20403,-14071,119524,122507
627.1,20366,-14154,119543,122569
629.1,20451,-14018,119382,122444
631.1,20569,-13834,119298,122381
633.1,20609,-13733,119206,122305
635.1,20539,-13638,119002,122123
637.1,20420,-13580,118907,122046
